Global Question ID,Source Question Number,Paper ,Unit Name,Chapter Name,Subject / Title,Question Type,Question Text,Option 1,Option 2,Option 3,Option 4,Right Answer,Explanation,Correct Marks,Negative Marks,Difficulty
Q-00001,1,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Arrange the chronological sequence in which the following works were published:
A. ""Reflections on the Revolution in France""
B. ""Preface to Shakespeare""
C. ""The Social Contract""
D. ""Treatise on Human Nature""
E. ""Enquiry Concerning Human Understanding""
Choose the correct answer from the following options:","A, B, C, D, E","C, A, B, E, D","D, E, C, B, A","B, C, A, D, E",3,"The correct order is:
""Treatise on Human Nature"" (1739) – David Hume
""Enquiry Concerning Human Understanding"" (1748) – David Hume
""The Social Contract"" (1762) – Jean-Jacques Rousseau
""Preface to Shakespeare"" (1765) – Samuel Johnson
""Reflections on the Revolution in France"" (1790) – Edmund Burke",2,0,Hard
Q-00002,2,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about the Augustan Age and Enlightenment are correct?
A. The Augustan Age refers to the early 18th century, marked by writers like Pope, Swift, Addison, and Steele.
B. Queen Anne (1702–1714) was the last Stuart ruler; the Act of Settlement (1701) enabled Hanoverian succession.
C. Whigs supported the Hanoverian succession, while Tories were largely Jacobites.
D. The Enlightenment emphasized reason, empiricism, and progress, with thinkers like Locke and Newton.
E. Neoclassicism in art reflected Enlightenment values of rationality, clarity, and moral seriousness.
Choose the correct answer from the options given below:","A, B, and C only","A, B, C, and D only","A, B, C, D, and E","B, D, and E only",3,"All statements A–E are correct:
The Augustan Age was dominated by Pope, Swift, Addison, and Steele
Queen Anne was the last Stuart monarch, with Hanoverian succession ensured
Whigs vs. Tories represented opposing political loyalties
Enlightenment prioritized reason, empiricism, and scientific progress
Neoclassical art reflected rationality, balance, and moral clarity",2,0,Easy
Q-00003,3,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about the Augustan literary culture are correct?
A. The Kit-Cat Club and Scriblerus Club were among the famous literary associations of the age.
B. Steele announced in ""The Tatler"" that reports on gallantry, poetry, learning, and news would be issued under the headings of White’s Chocolate-House, Will’s Coffee-House, Grecian, and St. James’ Coffee-House.
C. Hack-writers living in Grub Street symbolized the drudgery of low-paid literary labor.
D. Addison’s ""Cato"" is considered the only passable tragedy of the age, while Gay’s ""The Beggar’s Opera"" stood out with its vitality and songs.
E. Pope’s ""Dunciad"" exemplifies the best satirical poetry of the period.
Choose the correct answer from the options given below:","A, B, and C only","A, B, C, and D only","A, B, C, D, and E","B, D, and E only",3,"All statements are correct:
The Kit-Cat Club and Scriblerus Club shaped Augustan literary culture
""The Tatler"" pioneered reporting across social and intellectual topics
Grub Street writers represented commercial literary drudgery
""Cato"" (1713) by Addison and ""The Beggar’s Opera"" (1728) by Gay were landmarks
Pope’s ""Dunciad"" embodied Augustan satire at its finest",2,0,Medium
Q-00004,4,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about the rise of the periodical press are correct?
A. ""The Weekly Newes"" (1622) by Nathaniel Butter was England’s first regular paper.
B. ""The Oxford Gazette"" (1665), later renamed ""The London Gazette"" (1666), became an official government organ.
C. Daniel Defoe’s ""Review"" (1704) was a Tory paper, while ""The Examiner"" was a Whig paper.
D. Steele’s ""Tatler"" (1709) and Addison & Steele’s ""Spectator"" (1711) pioneered the literary essay as a central feature of journals.
E. ""The Daily Courant"" (1702) is regarded as the first daily newspaper in England.
Choose the correct answer from the options given below:","A, B, and D only","A, B, D, and E only","A, B, C, D, and E","B, D, and E only",2,"Correct statements are A, B, D, and E:
""The Weekly Newes"" (1622) by Nathaniel Butter was the first regular paper
""The Oxford Gazette"" became ""The London Gazette,"" an official paper
Defoe’s ""Review"" was actually a Whig paper, not Tory, so statement C is incorrect
""The Tatler"" and ""The Spectator"" pioneered the periodical essay
""The Daily Courant"" was the first daily newspaper in England",2,0,Medium
Q-00005,4,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about the rise of the periodical press are correct?
A. ""The Weekly Newes"" (1622) by Nathaniel Butter was England’s first regular paper.
B. ""The Oxford Gazette"" (1665), later renamed ""The London Gazette"" (1666), became an official government organ.
C. Daniel Defoe’s ""Review"" (1704) was a Tory paper, while ""The Examiner"" was a Whig paper.
D. Steele’s ""Tatler"" (1709) and Addison & Steele’s ""Spectator"" (1711) pioneered the literary essay as a central feature of journals.
E. ""The Daily Courant"" (1702) is regarded as the first daily newspaper in England.
Choose the correct answer from the options given below:","A, B, and D only","A, B, D, and E only","A, B, C, D, and E","B, D, and E only",2,"Correct statements are A, B, D, and E:
""The Weekly Newes"" (1622) by Nathaniel Butter was the first regular paper
""The Oxford Gazette"" became ""The London Gazette,"" an official paper
Defoe’s ""Review"" was actually a Whig paper, not Tory, so statement C is incorrect
""The Tatler"" and ""The Spectator"" pioneered the periodical essay
""The Daily Courant"" was the first daily newspaper in England",2,0,Medium
Q-00006,5,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about French Enlightenment thinkers and their works are correct?
A. Denis Diderot was the co-founder and editor of the ""Encyclopédie"" and later supported by Catherine the Great.
B. Voltaire’s ""Candide"" (1759) satirized Leibnizian optimism, influenced by events like the Lisbon earthquake.
C. Jean-Jacques Rousseau’s ""Emile: or, On Education"" was banned and burned for its “Savoyard Vicar” section.
D. Rousseau’s ""Confessions"" and ""Reveries"" emphasized subjectivity, introspection, and emotional expression.
E. Deism is the belief in God based on reason and revelation, while Theism relies solely on natural theology.
Choose the correct answer from the options given below:","A, B, and C only","A, B, C, and D only","A, C, and E only","B, D, and E only",2,"Correct statements are A, B, C, and D:
Diderot edited the ""Encyclopédie""
Voltaire’s ""Candide"" mocked optimism
Rousseau’s ""Emile"" was banned for heterodox religious content
""Confessions"" and ""Reveries"" emphasized subjectivity
Statement E is wrong: Deism relies solely on natural theology, while Theism includes revelation",2,0,Hard
Q-00007,6,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which two poems in the following list are Odes Written in the Horatian manner?
(A) Ben Jonson, ""To the Immortal Memory and Friendship of that Noble Pair, Sir Lucius Cary and Sir H. Morison""
(B) Andrew Marvell, ""Upon Cromwell's Return from Ireland""
(C) Alexander Pope, ""Ode on Solitude""
(D) Alfred Tennyson, ""Ode on the Death of the Duke of Wellington""
Choose the correct answer from the options given below:",(A) and (B) only,(B) and (D) only,(B) and (C) only,(A) and (D) only,3,"The correct poems in the Horatian manner are:
Andrew Marvell’s ""Upon Cromwell's Return from Ireland""
Alexander Pope’s ""Ode on Solitude""
Both are meditative, reflective, and modeled on Horace’s personal and philosophical tone rather than Pindaric grandeur.",2,0,Medium
Q-00008,7,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which two among the following condemned transporting 50,000 slaves into England in 1771?
A. Samuel Johnson
B. Alexander Pope
C. Horace Walpole
D. Thomas Gray
Choose the correct answer from the options given below:",A and B only,B and D only,B and C only,A and C only,1,"The correct pair is:
Samuel Johnson
Alexander Pope
Both strongly condemned the slave trade, highlighting moral and ethical concerns against human trafficking.",2,0,Medium
Q-00009,8,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope are correct?
A. Pope’s Catholic faith blocked professional and political careers, so he turned to writing as his path to fame.
B. His translation of ""Homer"" brought him both fame and wealth.
C. Pope spent his later years at Twickenham, where he lived until his death in 1744.
D. His early work ""Pastorals"" (1710) and ""An Essay on Criticism"" established his reputation and the heroic couplet.
E. Pope was educated at Eton and Christ Church, Oxford, under the patronage of Wycherley.
Choose the correct answer from the options given below:","A, B, and C only","A, B, C, and D only","A, C, and E only","B, D, and E only",2,"Correct statements are A, B, C, and D:
Pope’s Catholicism blocked him from formal careers
His translations of ""Homer"" secured wealth and fame
He spent his last years at Twickenham
""Pastorals"" and ""An Essay on Criticism"" established his literary reputation
Statement E is false: Pope was privately educated and never attended Eton or Oxford",2,0,Medium
Q-00010,9,Paper 2,,"Chapter 10: AUGUSTAN POETRY, PROSE, FICTION, DRAMA (1702-1784)",British Literature,SINGLECORRECT,"Which of the following statements about Alexander Pope are correct?
A. Pope’s fame was secured by ""The Rape of the Lock""
B. He translated ""Homer’s Iliad"" and ""Odyssey"" using a subscription model
C. ""The Dunciad"" satirized witless critics, with Theobald as its original chief dunce
D. His ""Essay on Man"" (1734) sought to “vindicate the ways of God to man”
E. Pope died at Bath in 1740, after completing an epic in blank verse, ""Brutus""
Choose the correct answer from the options given below:","A, B, and C only","A, B, C, and D only","B, C, and E only","A, D, and E only",2,"Correct statements are A, B, C, and D:
""The Rape of the Lock"" brought Pope widespread fame
He translated ""Homer"" via subscription, an innovative publishing model
""The Dunciad"" attacked dull critics, targeting Theobald
""Essay on Man"" aimed to reconcile human existence with divine order
Statement E is false: Pope died in 1744, not at Bath, and he never wrote ""Brutus""",2,0,Hard
